source_id,target_id,relationship_type,strength,co_mention_count,roles
ab93f96f-70b6-45bf-bcc6-63987d64b79e,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|location
2a0d7022-3764-44f2-92bb-d7e43ad4ed4f,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|location
ab93f96f-70b6-45bf-bcc6-63987d64b79e,af1b98d6-963f-43f4-aac8-756c736efdf6,co_mentioned,0.4,4,subject|location
2a0d7022-3764-44f2-92bb-d7e43ad4ed4f,af1b98d6-963f-43f4-aac8-756c736efdf6,co_mentioned,0.2,2,subject|location
193f4769-6fe4-4912-bad1-76edc2c6d5fb,e402e175-d60a-4c6d-9ca0-af040a168d78,co_mentioned,0.1,1,subject|object
193f4769-6fe4-4912-bad1-76edc2c6d5fb,257783de-fd40-4a4b-bf0c-f97c33305d1e,co_mentioned,0.1,1,subject|object
12e22c54-5f89-4318-93fe-d6eced4352ec,193f4769-6fe4-4912-bad1-76edc2c6d5fb,co_mentioned,0.1,1,subject|object
e402e175-d60a-4c6d-9ca0-af040a168d78,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.1,1,subject|object
257783de-fd40-4a4b-bf0c-f97c33305d1e,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.1,1,subject|object
12e22c54-5f89-4318-93fe-d6eced4352ec,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.1,1,subject|object
af1b98d6-963f-43f4-aac8-756c736efdf6,e402e175-d60a-4c6d-9ca0-af040a168d78,co_mentioned,0.2,2,subject|object
257783de-fd40-4a4b-bf0c-f97c33305d1e,af1b98d6-963f-43f4-aac8-756c736efdf6,co_mentioned,0.2,2,subject|object
12e22c54-5f89-4318-93fe-d6eced4352ec,af1b98d6-963f-43f4-aac8-756c736efdf6,co_mentioned,0.2,2,subject|object
ae858c5b-ecc2-49cd-a930-82240a57a33b,f4fac16a-c0ed-4617-bc92-c7405d3a8e53,co_mentioned,0.2,2,subject|location
02e8b94b-989f-4641-9431-e92ff0a525be,7052d46c-23da-49e7-b1e7-17a9a8e39fe9,co_mentioned,0.2,2,subject|location
02e8b94b-989f-4641-9431-e92ff0a525be,f4fac16a-c0ed-4617-bc92-c7405d3a8e53,co_mentioned,0.2,2,subject|location
86908f29-a483-42e8-a9aa-9491604c0212,ae858c5b-ecc2-49cd-a930-82240a57a33b,co_mentioned,0.1,1,subject|object
02e8b94b-989f-4641-9431-e92ff0a525be,86908f29-a483-42e8-a9aa-9491604c0212,co_mentioned,0.1,1,subject|object
40ac61ca-9888-478a-b4c2-59f9dfedd2a6,f2ce8ed2-374d-4027-a1de-900d1d197701,co_mentioned,0.1,1,subject|location
40ac61ca-9888-478a-b4c2-59f9dfedd2a6,652b17e7-8f9c-41c3-a4e5-d279eccc16b9,co_mentioned,0.1,1,subject|location
5a7b47d8-82f4-476a-8252-55dd5e74078c,ae858c5b-ecc2-49cd-a930-82240a57a33b,co_mentioned,0.1,1,subject|object
ae858c5b-ecc2-49cd-a930-82240a57a33b,fb50427c-e0c7-4cdd-9c5d-54c6fcb7660d,co_mentioned,0.1,1,subject|object
5a7b47d8-82f4-476a-8252-55dd5e74078c,f2ce8ed2-374d-4027-a1de-900d1d197701,co_mentioned,0.1,1,subject|object
f2ce8ed2-374d-4027-a1de-900d1d197701,fb50427c-e0c7-4cdd-9c5d-54c6fcb7660d,co_mentioned,0.1,1,subject|object
